"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"X4","~","X3",0.200000000022073,0.0505964425626257,3.95284707565207,"model_clpm",4,"auto","X[t-1] -> X[t]",0.200000000010225,1.18477450072874e-11,5.92387250334082e-09,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM","Scenario 0"
"Y4","~","Y3",0.29999999997561,0.0481663783255733,6.22841098717876,"model_clpm",4,"auto","Y[t-1] -> Y[t]",0.299999999988701,-1.30914723506237e-11,-4.36382411703891e-09,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM","Scenario 0"
"X4","~","X3",0.200000001192591,0.051382037721455,3.89241085137188,"model_clpm_lag2",4,"auto","X[t-1] -> X[t]",0.200000000010225,1.18236570534336e-09,5.91182852641455e-07,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y4","~","Y3",0.299999998372435,0.0513820377211846,5.8386162105974,"model_clpm_lag2",4,"auto","Y[t-1] -> Y[t]",0.299999999988701,-1.61626606542953e-09,-5.38755355163467e-07,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X4","~","X3",0.199999996394915,0.0616426918837343,3.24450458413042,"model_dpm",4,"auto","X[t-1] -> X[t]",0.200000000010225,-3.61531019010819e-09,-1.80765509496168e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM","Scenario 0"
"Y4","~","Y3",0.300000006990353,0.0663658127885782,4.52039980201952,"model_dpm",4,"auto","Y[t-1] -> Y[t]",0.299999999988701,7.00165203593173e-09,2.33388401206514e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM","Scenario 0"
"X4","~","X3",0.200000065917179,NA,NA,"model_dpm_free",4,"auto","X[t-1] -> X[t]",0.200000000010225,6.59069539221679e-08,3.29534769593992e-05,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y4","~","Y3",0.300000087708579,NA,NA,"model_dpm_free",4,"auto","Y[t-1] -> Y[t]",0.299999999988701,8.77198773618915e-08,2.92399591217317e-05,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X4","~","X3",0.199999992610106,0.0550287496061383,3.63446369473378,"model_riclpm",4,"auto","X[t-1] -> X[t]",0.200000000010225,-7.40011943389796e-09,-3.70005971675981e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y4","~","Y3",0.299999998957594,0.0547789504593494,5.47655616695722,"model_riclpm",4,"auto","Y[t-1] -> Y[t]",0.299999999988701,-1.03110731064504e-09,-3.43702436894625e-07,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X4","~","X3",0.199999995842478,NA,NA,"model_riclpm_free",4,"auto","X[t-1] -> X[t]",0.200000000010225,-4.16774736944348e-09,-2.0838736846152e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y4","~","Y3",0.300000009893795,NA,NA,"model_riclpm_free",4,"auto","Y[t-1] -> Y[t]",0.299999999988701,9.90509374521054e-09,3.30169791519453e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X5","~","X4",0.200000000066201,0.0505964427606005,3.95284706105745,"model_covariates",5,"auto","X[t-1] -> X[t]",0.200000000066201,0,0,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","True Model","Scenario 0"
"Y5","~","Y4",0.299999999926849,0.0481663785126303,6.22841096197801,"model_covariates",5,"auto","Y[t-1] -> Y[t]",0.299999999926849,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","True Model","Scenario 0"
"X5","~","X4",0.199999999994178,0.050596442591595,3.95284707283753,"model_clpm",5,"auto","X[t-1] -> X[t]",0.200000000066201,-7.20226100980881e-11,-3.60113050371241e-08,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM","Scenario 0"
"Y5","~","Y4",0.300000000006433,0.0481663783531777,6.22841098424916,"model_clpm",5,"auto","Y[t-1] -> Y[t]",0.299999999926849,7.95841725853563e-11,2.65280575349207e-08,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM","Scenario 0"
"X5","~","X4",0.200000000495261,0.0513820377369813,3.89241083662423,"model_clpm_lag2",5,"auto","X[t-1] -> X[t]",0.200000000066201,4.29060342810317e-10,2.14530171334148e-07,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y5","~","Y4",0.29999999932408,0.051382037740125,5.83861622696614,"model_clpm_lag2",5,"auto","Y[t-1] -> Y[t]",0.299999999926849,-6.02768113200369e-10,-2.00922704449116e-07,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X5","~","X4",0.19999999563011,0.061692767401608,3.24187103373315,"model_dpm",5,"auto","X[t-1] -> X[t]",0.200000000066201,-4.43609093903063e-09,-2.21804546878113e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM","Scenario 0"
"Y5","~","Y4",0.3000000068999,0.0687391324487557,4.36432634822016,"model_dpm",5,"auto","Y[t-1] -> Y[t]",0.299999999926849,6.9730511920163e-09,2.32435039790553e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM","Scenario 0"
"X5","~","X4",0.200000002019853,NA,NA,"model_dpm_free",5,"auto","X[t-1] -> X[t]",0.200000000066201,1.95365201793862e-09,9.76826008645977e-07,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y5","~","Y4",0.299999989576778,NA,NA,"model_dpm_free",5,"auto","Y[t-1] -> Y[t]",0.299999999926849,-1.0350070300813e-08,-3.45002343444559e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X5","~","X4",0.199999994268823,0.0550287485026596,3.63446379775758,"model_riclpm",5,"auto","X[t-1] -> X[t]",0.200000000066201,-5.79737832739902e-09,-2.89868916274003e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y5","~","Y4",0.300000002204304,0.0547789493966702,5.47655633246846,"model_riclpm",5,"auto","Y[t-1] -> Y[t]",0.299999999926849,2.27745527991985e-09,7.59151760158393e-07,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X5","~","X4",0.200000001541474,NA,NA,"model_riclpm_free",5,"auto","X[t-1] -> X[t]",0.200000000066201,1.47527268179459e-09,7.37636340653135e-07,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y5","~","Y4",0.300000000869932,NA,NA,"model_riclpm_free",5,"auto","Y[t-1] -> Y[t]",0.299999999926849,9.4308305609303e-10,3.1436101877433e-07,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"Y2","~","X1",0.0999999999014133,0.0481663782556375,2.07613699686272,"model_covariates",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"Y2","~","X1",0.0999999999669751,0.0481663785861809,2.07613698397632,"model_clpm",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,6.55617782285844e-11,6.55617782932196e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"Y2","~","X1",0.0999999999653008,0.0481663785848612,2.07613698399844,"model_clpm_lag2",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,6.38874925185107e-11,6.38874925814952e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"Y2","~","X1",0.10000000321047,0.0557542478451679,1.79358536928298,"model_dpm",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,3.30905701451112e-09,3.30905701777341e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"Y2","~","X1",0.0981203429637234,NA,NA,"model_dpm_free",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,-0.00187965693768993,-1.87965693954302,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"Y2","~","X1",0.0999999928441868,0.0507778151636855,1.96936383579779,"model_riclpm",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,-7.05722648375318e-09,-7.05722649071066e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"Y2","~","X1",-0.0371952748177733,NA,NA,"model_riclpm_free",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,-0.137195274719187,-137.195274854443,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"Y3","~","X2",0.100000000106352,0.0481663781138801,2.07613700722777,"model_covariates",3,"cross","X[t-1] -> Y[t]",0.100000000106352,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"Y3","~","X2",0.100000000039839,0.0481663785884233,2.07613698539243,"model_clpm",3,"cross","X[t-1] -> Y[t]",0.100000000106352,-6.65130034382955e-11,-6.65130033675572e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"Y3","~","X2",0.100000002029194,0.0489142428779196,2.04439435521417,"model_clpm_lag2",3,"cross","X[t-1] -> Y[t]",0.100000000106352,1.92284128897047e-09,1.92284128692548e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"Y3","~","X2",0.0999999911364823,0.0541484263485801,1.84677557373012,"model_dpm",3,"cross","X[t-1] -> Y[t]",0.100000000106352,-8.96987019383122e-09,-8.96987018429154e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"Y3","~","X2",0.11319086786657,NA,NA,"model_dpm_free",3,"cross","X[t-1] -> Y[t]",0.100000000106352,0.0131908677602171,13.1908677461882,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"Y3","~","X2",0.0999999937225403,0.0507778152470712,1.96936384986174,"model_riclpm",3,"cross","X[t-1] -> Y[t]",0.100000000106352,-6.38381214557171e-09,-6.38381213878237e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"Y3","~","X2",0.17727220805948,NA,NA,"model_riclpm_free",3,"cross","X[t-1] -> Y[t]",0.100000000106352,0.077272207953127,77.2722078709461,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"Y4","~","X3",0.0999999999887014,0.0481663781891524,2.07613700154068,"model_covariates",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"Y4","~","X3",0.0999999999756099,0.0481663786222316,2.07613698260168,"model_clpm",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-1.30915417395627e-11,-1.30915417410419e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"Y4","~","X3",0.0999999986822016,0.0489142429368216,2.04439428432662,"model_clpm_lag2",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-1.30649978336006e-09,-1.30649978350768e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"Y4","~","X3",0.0999999886040871,0.055530963268124,1.80079693775976,"model_dpm",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-1.1384614292953e-08,-1.13846142942393e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"Y4","~","X3",0.100000013938575,NA,NA,"model_dpm_free",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,1.39498740059363e-08,1.39498740075124e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"Y4","~","X3",0.0999999999575535,0.0507778152249298,1.96936397351058,"model_riclpm",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-3.11479453340979e-11,-3.11479453376172e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"Y4","~","X3",0.0999999930501859,NA,NA,"model_riclpm_free",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-6.93851551214486e-09,-6.93851551292881e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"Y5","~","X4",0.0999999999268488,0.0481663784088167,2.07613699078825,"model_covariates",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"Y5","~","X4",0.100000000006433,0.0481663786511044,2.07613698199709,"model_clpm",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,7.95839921741148e-11,7.95839922323315e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"Y5","~","X4",0.0999999994527423,0.0489142429545949,2.04439429933666,"model_clpm_lag2",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,-4.74106448544731e-10,-4.74106448891546e-07,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"Y5","~","X4",0.099999988564395,0.0557222924756699,1.79461368370761,"model_dpm",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,-1.13624538111701e-08,-1.13624538194818e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"Y5","~","X4",0.100000006320336,NA,NA,"model_dpm_free",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,6.39348739228662e-09,6.39348739696354e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
